id,created_by,created_on,deleted,modified_by,modified_on,latitude,longitude,name,postal_code,admin_area_subdivision_major,admin_area_subdivision_middle,admin_area_subdivision_minor,geo_area
1,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8534,2.3488,Paris,75000,1,1,1,NULL
2,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8592,2.3417,Paris 01,75001,1,1,1,NULL
3,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8655,2.3426,Paris 02,75002,1,1,1,NULL
4,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8637,2.3615,Paris 03,75003,1,1,1,NULL
5,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8601,2.3507,Paris 04,75004,1,1,1,NULL
6,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8448,2.3471,Paris 05,75005,1,1,1,NULL
7,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8493,2.33,Paris 06,75006,1,1,1,NULL
8,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8565,2.321,Paris 07,75007,1,1,1,NULL
9,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8763,2.3183,Paris 08,75008,1,1,1,NULL
10,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8718,2.3399,Paris 09,75009,1,1,1,NULL
11,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8709,2.3561,Paris 10,75010,1,1,1,NULL
12,Fab User,2018-01-23 15:05:17,,Fab User,2018-01-23 15:05:17,48.8574,2.3795,Paris 11,75011,1,1,1,NULL
13,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8412,2.3876,Paris 12,75012,1,1,1,NULL
14,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8322,2.3561,Paris 13,75013,1,1,1,NULL
15,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8331,2.3264,Paris 14,75014,1,1,1,NULL
16,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8412,2.3003,Paris 15,75015,1,1,1,NULL
17,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8637,2.2769,Paris 16,75016,1,1,1,NULL
18,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8835,2.3219,Paris 17,75017,1,1,1,NULL
19,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8925,2.3444,Paris 18,75018,1,1,1,NULL
20,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8817,2.3822,Paris 19,75019,1,1,1,NULL
21,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8646,2.3984,Paris 20,75020,1,1,1,NULL
22,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75021 CEDEX 01,1,1,1,NULL
23,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75023 CEDEX 01,1,1,1,NULL
24,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75024 CEDEX 01,1,1,1,NULL
25,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75026 CEDEX 01,1,1,1,NULL
26,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75028 CEDEX 01,1,1,1,NULL
27,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75029 CEDEX 01,1,1,1,NULL
28,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75030 CEDEX 01,1,1,1,NULL
29,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75031 CEDEX 01,1,1,1,NULL
30,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75032 CEDEX 01,1,1,1,NULL
31,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75033 CEDEX 01,1,1,1,NULL
32,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75034 CEDEX 01,1,1,1,NULL
33,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75035 CEDEX 01,1,1,1,NULL
34,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75036 CEDEX 01,1,1,1,NULL
35,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75038 CEDEX 01,1,1,1,NULL
36,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75039 CEDEX 01,1,1,1,NULL
37,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75040 CEDEX 01,1,1,1,NULL
38,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75041 CEDEX 01,1,1,1,NULL
39,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75042 CEDEX 01,1,1,1,NULL
40,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75043 CEDEX 01,1,1,1,NULL
41,Fab User,2018-01-23 15:05:18,,Fab User,2018-01-23 15:05:18,48.8592,2.3417,Paris 01,75044 CEDEX 01,1,1,1,NULL
